lon,lat,year,pdsi
-91.75,37.25,1638,-0.368
-91.75,37.25,1639,0.588
-91.75,37.25,1640,-1.597
-91.75,37.25,1641,-0.288
-91.75,37.25,1642,-0.742
-91.75,37.25,1643,-2.686
-91.75,37.25,1644,-2.961
-91.75,37.25,1645,-2.929
-91.75,37.25,1646,-2.61
-91.75,37.25,1647,1.861
-91.75,37.25,1648,-0.475
-91.75,37.25,1649,1.82
-91.75,37.25,1650,-2.05
-91.75,37.25,1651,-0.323
-91.75,37.25,1652,-2.017
-91.75,37.25,1653,1.127
-91.75,37.25,1654,-2.667
-91.75,37.25,1655,-2.011
-91.75,37.25,1656,-0.658
-91.75,37.25,1657,1.199
-91.75,37.25,1658,-0.037
-91.75,37.25,1659,-0.569
-91.75,37.25,1660,0.637
-91.75,37.25,1661,1.899
-91.75,37.25,1662,1.625
-91.75,37.25,1663,0.267
-91.75,37.25,1664,-0.675
-91.75,37.25,1665,-0.195
-91.75,37.25,1666,-1.304
-91.75,37.25,1667,-0.135
-91.75,37.25,1668,-0.452
-91.75,37.25,1669,-0.396
-91.75,37.25,1670,-2.512
-91.75,37.25,1671,-1.658
-91.75,37.25,1672,-0.28
-91.75,37.25,1673,0.53
-91.75,37.25,1674,1.284
-91.75,37.25,1675,-0.244
-91.75,37.25,1676,-1.421
-91.75,37.25,1677,-0.105
-91.75,37.25,1678,1.09
-91.75,37.25,1679,-1.135
-91.75,37.25,1680,1.919
-91.75,37.25,1681,-2.369
-91.75,37.25,1682,-0.81
-91.75,37.25,1683,0.413
-91.75,37.25,1684,-0.404
-91.75,37.25,1685,-1.475
-91.75,37.25,1686,-0.415
-91.75,37.25,1687,-1.891
-91.75,37.25,1688,-0.543
-91.75,37.25,1689,-2.03
-91.75,37.25,1690,2.655
-91.75,37.25,1691,0.926
-91.75,37.25,1692,-0.3
-91.75,37.25,1693,-2.987
-91.75,37.25,1694,3.202
-91.75,37.25,1695,1.991
-91.75,37.25,1696,-1.57
-91.75,37.25,1697,-2.784
-91.75,37.25,1698,-2.275
-91.75,37.25,1699,-0.7
-91.75,37.25,1700,-0.817
-91.75,37.25,1701,1.435
-91.75,37.25,1702,0.838
-91.75,37.25,1703,-2.071
-91.75,37.25,1704,-1.246
-91.75,37.25,1705,-2.157
-91.75,37.25,1706,1.162
-91.75,37.25,1707,3.084
-91.75,37.25,1708,-3.462
-91.75,37.25,1709,-1.579
-91.75,37.25,1710,-0.867
-91.75,37.25,1711,0.959
-91.75,37.25,1712,-1.076
-91.75,37.25,1713,0.408
-91.75,37.25,1714,1.855
-91.75,37.25,1715,-0.112
-91.75,37.25,1716,1.797
-91.75,37.25,1717,1.722
-91.75,37.25,1718,-1.026
-91.75,37.25,1719,0.762
-91.75,37.25,1720,-1.473
-91.75,37.25,1721,-2.403
-91.75,37.25,1722,-0.483
-91.75,37.25,1723,-1.436
-91.75,37.25,1724,-0.424
-91.75,37.25,1725,-0.482
-91.75,37.25,1726,-0.168
-91.75,37.25,1727,-0.486
-91.75,37.25,1728,-3.146
-91.75,37.25,1729,2.626
-91.75,37.25,1730,-0.365
-91.75,37.25,1731,-1.594
-91.75,37.25,1732,0.946
-91.75,37.25,1733,1.613
-91.75,37.25,1734,-1.534
-91.75,37.25,1735,-0.809
-91.75,37.25,1736,-5.65
-91.75,37.25,1737,-3.487
-91.75,37.25,1738,0.027
-91.75,37.25,1739,1.732
-91.75,37.25,1740,2.364
-91.75,37.25,1741,-0.509
-91.75,37.25,1742,-0.499
-91.75,37.25,1743,0.07
-91.75,37.25,1744,1.931
-91.75,37.25,1745,2.349
-91.75,37.25,1746,-1.072
-91.75,37.25,1747,2.381
-91.75,37.25,1748,-2.07
-91.75,37.25,1749,-1.923
-91.75,37.25,1750,1.36
-91.75,37.25,1751,0.073
-91.75,37.25,1752,-1.808
-91.75,37.25,1753,-1.614
-91.75,37.25,1754,-1.296
-91.75,37.25,1755,-2.239
-91.75,37.25,1756,-0.77
-91.75,37.25,1757,-0.399
-91.75,37.25,1758,-0.303
-91.75,37.25,1759,3.279
-91.75,37.25,1760,-0.997
-91.75,37.25,1761,1.001
-91.75,37.25,1762,-2.42
-91.75,37.25,1763,-1.194
-91.75,37.25,1764,2.616
-91.75,37.25,1765,0.68
-91.75,37.25,1766,-0.93
-91.75,37.25,1767,-4.065
-91.75,37.25,1768,0.794
-91.75,37.25,1769,2.031
-91.75,37.25,1770,-0.077
-91.75,37.25,1771,0.123
-91.75,37.25,1772,-3.871
-91.75,37.25,1773,-2.396
-91.75,37.25,1774,-1.741
-91.75,37.25,1775,0.422
-91.75,37.25,1776,2.067
-91.75,37.25,1777,1.035
-91.75,37.25,1778,-0.53
-91.75,37.25,1779,0.707
-91.75,37.25,1780,-1.065
-91.75,37.25,1781,3.094
-91.75,37.25,1782,1.591
-91.75,37.25,1783,2.086
-91.75,37.25,1784,-1.712
-91.75,37.25,1785,-1.94
-91.75,37.25,1786,-0.537
-91.75,37.25,1787,1.058
-91.75,37.25,1788,1.44
-91.75,37.25,1789,-2.078
-91.75,37.25,1790,-1.634
-91.75,37.25,1791,0.41
-91.75,37.25,1792,-1.439
-91.75,37.25,1793,-0.004
-91.75,37.25,1794,-1.182
-91.75,37.25,1795,1.434
-91.75,37.25,1796,3.082
-91.75,37.25,1797,3.645
-91.75,37.25,1798,0.56
-91.75,37.25,1799,-2.864
-91.75,37.25,1800,-3.18
-91.75,37.25,1801,-4.248
-91.75,37.25,1802,0.419
-91.75,37.25,1803,-1.703
-91.75,37.25,1804,-0.166
-91.75,37.25,1805,0.769
-91.75,37.25,1806,-0.852
-91.75,37.25,1807,0.698
-91.75,37.25,1808,0.027
-91.75,37.25,1809,-1.35
-91.75,37.25,1810,0.026
-91.75,37.25,1811,3.894
-91.75,37.25,1812,-1.325
-91.75,37.25,1813,-0.623
-91.75,37.25,1814,-0.049
-91.75,37.25,1815,-0.602
-91.75,37.25,1816,-4.045
-91.75,37.25,1817,-1.604
-91.75,37.25,1818,-1.508
-91.75,37.25,1819,1.292
-91.75,37.25,1820,-1.593
-91.75,37.25,1821,-0.712
-91.75,37.25,1822,0.228
-91.75,37.25,1823,0.233
-91.75,37.25,1824,0.446
-91.75,37.25,1825,-0.898
-91.75,37.25,1826,0.001
-91.75,37.25,1827,1.956
-91.75,37.25,1828,1.381
-91.75,37.25,1829,-2.436
-91.75,37.25,1830,1.871
-91.75,37.25,1831,0.096
-91.75,37.25,1832,-1.265
-91.75,37.25,1833,-0.733
-91.75,37.25,1834,-4.73
-91.75,37.25,1835,-2.159
-91.75,37.25,1836,0.619
-91.75,37.25,1837,1.073
-91.75,37.25,1838,-2.62
-91.75,37.25,1839,-2.144
-91.75,37.25,1840,1.019
-91.75,37.25,1841,-2.938
-91.75,37.25,1842,0.157
-91.75,37.25,1843,0.946
-91.75,37.25,1844,3.583
-91.75,37.25,1845,1.134
-91.75,37.25,1846,0.205
-91.75,37.25,1847,-0.62
-91.75,37.25,1848,0.008
-91.75,37.25,1849,3.078
-91.75,37.25,1850,-0.252
-91.75,37.25,1851,-1.739
-91.75,37.25,1852,0.193
-91.75,37.25,1853,-1.708
-91.75,37.25,1854,1.497
-91.75,37.25,1855,-2.415
-91.75,37.25,1856,-2.72
-91.75,37.25,1857,-2.938
-91.75,37.25,1858,0.474
-91.75,37.25,1859,-0.93
-91.75,37.25,1860,-2.041
-91.75,37.25,1861,-0.031
-91.75,37.25,1862,0.4
-91.75,37.25,1863,0.558
-91.75,37.25,1864,-1.507
-91.75,37.25,1865,0.112
-91.75,37.25,1866,2.06
-91.75,37.25,1867,0.099
-91.75,37.25,1868,-3.364
-91.75,37.25,1869,0.882
-91.75,37.25,1870,-1.858
-91.75,37.25,1871,-2.374
-91.75,37.25,1872,-1.733
-91.75,37.25,1873,-1.103
-91.75,37.25,1874,-4.408
-91.75,37.25,1875,-0.621
-91.75,37.25,1876,3.527
-91.75,37.25,1877,0.374
-91.75,37.25,1878,1.37
-91.75,37.25,1879,-2.803
-91.75,37.25,1880,0.51
-91.75,37.25,1881,-1.734
-91.75,37.25,1882,3.656
-91.75,37.25,1883,4.312
-91.75,37.25,1884,1.099
-91.75,37.25,1885,-0.794
-91.75,37.25,1886,-1.128
-91.75,37.25,1887,-2.024
-91.75,37.25,1888,-0.858
-91.75,37.25,1889,2.106
-91.75,37.25,1890,0.135
-91.75,37.25,1891,0.555
-91.75,37.25,1892,4.016
-91.75,37.25,1893,1.978
-91.75,37.25,1894,-1.54
-91.75,37.25,1895,-2.488
-91.75,37.25,1896,-0.964
-91.75,37.25,1897,0.997
-91.75,37.25,1898,1.079
-91.75,37.25,1899,-0.433
-91.75,37.25,1900,-1.443
-91.75,37.25,1901,-3.977
-91.75,37.25,1902,-2.482
-91.75,37.25,1903,2.278
-91.75,37.25,1904,3.661
-91.75,37.25,1905,0.252
-91.75,37.25,1906,0.151
-91.75,37.25,1907,1.943
-91.75,37.25,1908,2.109
-91.75,37.25,1909,2.883
-91.75,37.25,1910,1.946
-91.75,37.25,1911,-4.078
-91.75,37.25,1912,2.839
-91.75,37.25,1913,-2.708
-91.75,37.25,1914,-3.802
-91.75,37.25,1915,3.243
-91.75,37.25,1916,1.945
-91.75,37.25,1917,0.184
-91.75,37.25,1918,-2.413
-91.75,37.25,1919,0.348
-91.75,37.25,1920,0.282
-91.75,37.25,1921,-0.775
-91.75,37.25,1922,-0.007
-91.75,37.25,1923,2.083
-91.75,37.25,1924,3.194
-91.75,37.25,1925,-2.689
-91.75,37.25,1926,-2.374
-91.75,37.25,1927,2.191
-91.75,37.25,1928,3.621
-91.75,37.25,1929,1.971
-91.75,37.25,1930,-2.612
-91.75,37.25,1931,-3.015
-91.75,37.25,1932,-1.143
-91.75,37.25,1933,-0.694
-91.75,37.25,1934,-3.369
-91.75,37.25,1935,3.806
-91.75,37.25,1936,-3.979
-91.75,37.25,1937,-0.357
-91.75,37.25,1938,2.005
-91.75,37.25,1939,0.369
-91.75,37.25,1940,-1.24
-91.75,37.25,1941,-2.593
-91.75,37.25,1942,0.602
-91.75,37.25,1943,-0.139
-91.75,37.25,1944,-1.905
-91.75,37.25,1945,3.584
-91.75,37.25,1946,0.656
-91.75,37.25,1947,0.231
-91.75,37.25,1948,0.812
-91.75,37.25,1949,1.747
-91.75,37.25,1950,2.461
-91.75,37.25,1951,3.928
-91.75,37.25,1952,-2.263
-91.75,37.25,1953,-2.948
-91.75,37.25,1954,-4.173
-91.75,37.25,1955,1.234
-91.75,37.25,1956,-1.574
-91.75,37.25,1957,2.205
-91.75,37.25,1958,1.306
-91.75,37.25,1959,-0.627
-91.75,37.25,1960,0.207
-91.75,37.25,1961,0.346
-91.75,37.25,1962,0.559
-91.75,37.25,1963,-2.243
-91.75,37.25,1964,-2.373
-91.75,37.25,1965,0.174
-91.75,37.25,1966,-1.358
-91.75,37.25,1967,-0.5
-91.75,37.25,1968,0.388
-91.75,37.25,1969,0.093
-91.75,37.25,1970,0.646
-91.75,37.25,1971,-0.213
-91.75,37.25,1972,-2.016
-91.75,37.25,1973,4.086
-91.75,37.25,1974,3.832
-91.75,37.25,1975,2.661
-91.75,37.25,1976,0.967
-91.75,37.25,1977,-2.841
-91.75,37.25,1978,-0.321
-91.75,37.25,1979,1.98
-91.75,37.25,1980,-2.754
-91.75,37.25,1981,0.389
-91.75,37.25,1982,0.692
-91.75,37.25,1983,0.318
-91.75,37.25,1984,-0.624
-91.75,37.25,1985,3.027
-91.75,37.25,1986,-1.086
-91.75,37.25,1987,-1.37
-91.75,37.25,1988,-0.866
-91.75,37.25,1989,0.637
-91.75,37.25,1990,0.931
-91.75,37.25,1991,-0.986
-91.75,37.25,1992,-0.212
-91.75,37.25,1993,1.349
-91.75,37.25,1994,1.595
-91.75,37.25,1995,1.484
-91.75,37.25,1996,-0.015
-91.75,37.25,1997,0.808
-91.75,37.25,1998,1.543
-91.75,37.25,1999,-0.756
-91.75,37.25,2000,-1.041
-91.75,37.25,2001,-1.151
-91.75,37.25,2002,1.859
-91.75,37.25,2003,0.052
-91.75,37.25,2004,0.856
-91.75,37.25,2005,-1.476
-91.75,37.75,1600,-0.012
-91.75,37.75,1601,0.872
-91.75,37.75,1602,0.595
-91.75,37.75,1603,-0.151
-91.75,37.75,1604,0.546
-91.75,37.75,1605,1.041
-91.75,37.75,1606,3.581
-91.75,37.75,1607,1.861
-91.75,37.75,1608,-2.97
-91.75,37.75,1609,-0.566
-91.75,37.75,1610,-0.663
-91.75,37.75,1611,0.631
-91.75,37.75,1612,-1.159
-91.75,37.75,1613,-0.674
-91.75,37.75,1614,-1.171
-91.75,37.75,1615,-0.096
-91.75,37.75,1616,-0.906
-91.75,37.75,1617,-0.242
-91.75,37.75,1618,-0.576
-91.75,37.75,1619,-1.085
-91.75,37.75,1620,2.743
-91.75,37.75,1621,3.197
-91.75,37.75,1622,0.428
-91.75,37.75,1623,1.833
-91.75,37.75,1624,2.173
-91.75,37.75,1625,0.138
-91.75,37.75,1626,2.282
-91.75,37.75,1627,-1.682
-91.75,37.75,1628,-2.895
-91.75,37.75,1629,1.685
-91.75,37.75,1630,-0.659
